#OTU_ID	KEGG_Description	KEGG_Pathways
K00001	alcohol dehydrogenase [EC:1.1.1.1] (E1.1.1.1, adh)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Lipid metabolism;Fatty acid degradation|Metabolism;Amino acid metabolism;Tyrosine metabolism|Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2] (AKR1A1, adh)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Lipid metabolism;Glycerolipid metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K00003	homoserine dehydrogenase [EC:1.1.1.3] (E1.1.1.3)	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism|Metabolism;Amino acid metabolism;Lysine biosynthesis
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303] (BDH, butB)	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00005	glycerol dehydrogenase [EC:1.1.1.6] (gldA)	Metabolism;Carbohydrate metabolism;Propaonate metabolism|Metabolism;Lipid metabolism;Glycerolipid metabolism
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] (GPD1)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11] (dalD)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14] (SORD, gutB)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17] (mtlD)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (iolG)	Metabolism;Carbohydrate metabolism;Inositol phosphate metabolism|Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis
K00011	aldehyde reductase [EC:1.1.1.21] (E1.1.1.21, AKR1)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate metabolism;Galactose metabolism|Metabolism;Lipid metabolism;Glycerolipid metabolism
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] (UGDH, ugd)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism|Metabolism;Carbohydrate metabolism;Starch and sucrose metabolism|Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K00013	histidinol dehydrogenase [EC:1.1.1.23] (hisD)	Metabolism;Amino acid metabolism;Histidine metabolism
K00014	shikimate dehydrogenase [EC:1.1.1.25] (aroE)	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
K00015	glyoxylate reductase [EC:1.1.1.26] (gyaR)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism
K00016	L-lactate dehydrogenase [EC:1.1.1.27] (LDH, ldh)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Propaonate metabolism|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism|Organismal Systems;Endocrine system;Glucagon signaling pathway
K00018	glycerate dehydrogenase [EC:1.1.1.29] (hprA)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism|Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] (E1.1.1.30, bdh)	Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Lipid metabolism;Synthesis and degradation of ketone bodies
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] (mmsB, HIBADH)	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34] (HMGCR)	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis|Organismal Systems;Digestive system;Bile secretion|Environmental information processing;Signal transduction;AMPK signaling pathway
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] (HADH)	Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Lipid metabolism;Fatty acid elongation|Metabolism;Lipid metabolism;Fatty acid degradation|Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation|Metabolism;Amino acid metabolism;Lysine degradation|Metabolism;Amino acid metabolism;Tryptophan metabolism|Metabolism;Metabolism of terpenoids and polyketides;Geraniol degradation|Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36] (E1.1.1.36, phbB)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00024	malate dehydrogenase [EC:1.1.1.37] (mdh)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms|Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes|Metabolism;Energy metabolism;Methane metabolism|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00025	malate dehydrogenase [EC:1.1.1.37] (MDH1)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism|Organismal Systems;Excretory system;Proximal tubule bicarbonate reclamation
K00026	malate dehydrogenase [EC:1.1.1.37] (MDH2)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38] (ME2, sfcA, maeA)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Environmental information processing;Signal transduction;Two-component system
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39] (E1.1.1.39)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (E1.1.1.40, maeB)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] (IDH3)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)
K00031	isocitrate dehydrogenase [EC:1.1.1.42] (IDH1, IDH2, icd)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)|Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes|Metabolism;Metabolism of other amino acids;Glutathione metabolism|Cellular processes;Transport and catabolism;Peroxisome
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43] (E1.1.1.43)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway|Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (PGD, gnd, gntZ)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway|Metabolism;Metabolism of other amino acids;Glutathione metabolism
K00034	glucose 1-dehydrogenase [EC:1.1.1.47] (gdh)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48] (gal)	Metabolism;Carbohydrate metabolism;Galactose metabolism
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] (G6PD, zwf)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway|Metabolism;Metabolism of other amino acids;Glutathione metabolism|Human diseases;Cancers_overview;Central carbon metabolism in cancer
K00037	3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50] (E1.1.1.50)	Metabolism;Lipid metabolism;Primary bile acid biosynthesis|Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53] (E1.1.1.53)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56] (rbtD)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00040	fructuronate reductase [EC:1.1.1.57] (uxuB)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00041	tagaturonate reductase [EC:1.1.1.58] (uxaB)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] (garR, glxR)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (gbd)	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00044	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62] (HSD17B1)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis|Organismal Systems;Endocrine system;Ovarian steroidogenesis
